term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos,df,idf,tfidf_mean,tfidf_sum,dfidf,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
blessing,bless,268,547,0.00018042618280134537,12.43630366702752,0,NN,3,"{'NN', 'NNP', 'VBG'}",108,2.1277555471983725,0.000330837552511803,0.15615532478557104,229.7975990974242,-0.06180743275841767,-0.10659580609908387,0.05669672285387211,0.023903562617073465,0.02408900995419561,-0.01646110236760042,-0.006647518985948613,-0.035536232440142375,0.017331400397557078,-0.03651210231044134
religion,religion,235,619,0.0001582095259638663,12.625875910920293,0,NN,4,"{'VB', 'NN', 'NNP', 'JJ'}",108,2.1277555471983725,0.00039187655238703486,0.18496573272668046,229.7975990974242,-0.0034084329713229343,-0.004811258266543984,0.04578574632849708,0.023776866474963014,0.07225570928414952,0.04098344723004815,0.059416788301860826,-0.03509707213445448,0.010485593696752765,-0.0018000308378380155
sweet,sweet,151,960,0.00010165803583210132,13.263988118160214,0,JJ,7,"{'NNP', 'VBP', 'VBD', 'RB', 'VBN', 'JJ', 'NN'}",107,2.141176062960694,0.00021884708470052496,0.10329582397864778,229.10583873679428,-0.022783017316293484,-0.010826974687586545,0.01410679418773024,-0.014537296596045579,0.02923114496629213,-0.01706653009541652,-0.003541428445102957,0.013542814591114479,-0.013138813582137355,0.00610795967021324
follow,follow,143,1026,9.627217962907609e-05,13.342521520706903,0,VB,4,"{'IN', 'NN', 'VB', 'VBP'}",107,2.141176062960694,0.0002146796892676592,0.10132881333433515,229.10583873679428,-0.009814885394024728,-0.01259564549735338,0.009224952542595536,-0.017205257905524934,-0.011398656454621231,-0.004061871395216576,-0.0014642213556054688,-0.009895954746876707,0.016690356855663314,0.003807151424523096
satisfied,satisfi,196,754,0.00013195347697411827,12.887683013370085,0,JJ,4,"{'JJ', 'NNP', 'VBD', 'VBN'}",107,2.141176062960694,0.0003514613464037681,0.16588975550257853,229.10583873679428,0.012858041125320317,-0.017453413185772017,-0.02043225602944664,-0.08680855956318749,-0.015669282798198157,0.021017000764991134,-0.02804501103678716,-0.046266819304084855,0.001011625567345093,0.026824306656581785
buy,buy,167,877,0.0001124297482381518,13.11868856501124,0,VB,3,"{'VB', 'VBP', 'NNP'}",107,2.141176062960694,0.00029730036179888893,0.14032577076907557,229.10583873679428,-0.03279933369904037,0.009420524623985441,-0.037995969790675405,-0.011635685795876467,-0.007535692558793498,-0.013833837562422499,-0.00637359913765736,0.009514663207797437,0.0027723448762207747,-0.041503934601309134
american,american,342,444,0.00023024535267932882,12.084540342599395,0,JJ,2,"{'JJ', 'NNP'}",106,2.154722594798642,0.0005071638938356093,0.2393813578904076,228.40059504865604,0.08276593661231096,0.014123587981131454,0.026558058258973418,0.07766389323785727,0.1756206128845001,0.036317922640416236,-0.0458031741669589,0.0041313002529877055,0.14290499596245934,0.008136304166982586
sufficient,suffici,151,960,0.00010165803583210132,13.263988118160214,0,JJ,5,"{'NNP', 'VBN', 'JJ', 'NN', 'VB'}",106,2.154722594798642,0.0002557868436925486,0.12073139022288294,228.40059504865604,0.025004589032410433,0.011394288338032445,-0.0013125505186322246,-0.0121628406331826,-0.003808288154228178,0.006738932676632179,-0.004874636218441027,-0.012469752969341726,0.005845364021038537,-0.00626715339981136
glory,glori,236,615,0.00015888275798924445,12.619749808123451,0,NN,5,"{'NNP', 'VBP', 'JJ', 'NN', 'VB'}",106,2.154722594798642,0.0003445586555822484,0.16263168543482123,228.40059504865604,-0.051097096573245855,-0.07284458840923062,0.07859316739223152,-0.0058359874282337765,-0.0044404631022048014,0.00534743209526055,0.023317574483976616,-0.004070110401414038,-0.004667373202136787,-0.010885495874182614
effort,effort,187,792,0.00012589438874571488,12.955498397597655,0,NN,2,"{'NN', 'NNP'}",106,2.154722594798642,0.0002515105008673116,0.11871295640937107,228.40059504865604,0.03613388707838841,0.0019744362728603406,-0.01064480149856429,0.014285908281579496,0.015858325247167186,-0.02347631607312688,-0.017433163177036023,0.0029062373519651036,-0.026409187213471907,-0.03620616819072307
entire,entir,158,920,0.0001063706600097484,13.19861210930819,0,JJ,1,{'JJ'},105,2.1683975316957187,0.0002507641274275238,0.11836066814579121,227.68174082805047,0.0225768649596051,-0.008669861613808831,0.00452780754276251,0.010396349569848773,0.009188561835382645,0.00834811672698501,0.001263803893364419,0.002796401566752464,-0.013816947720502067,0.01094972881363704
religious,religi,213,687,0.0001433984214055469,12.767683237259455,0,JJ,3,"{'JJ', 'NNP', 'VB'}",105,2.1683975316957187,0.0003552732724497684,0.16768898459629067,227.68174082805047,0.014761497307254807,-0.004924281345196075,0.017115720852708075,0.014860408160568963,0.07035549852975564,0.0886448936917135,0.018475188236958005,-0.018603210946977925,-0.018978448418701135,-0.0525997464971551
honor,honor,221,660,0.00014878427760857212,12.71449029809386,0,NN,7,"{'NNP', 'VBP', 'VBD', 'VBZ', 'JJ', 'NN', 'VB'}",105,2.1683975316957187,0.0002691662094765652,0.12704645087293878,227.68174082805047,0.026668083873721597,0.001237171602637027,0.039542376824935395,-0.032964523380810115,-0.02974727030489163,-0.03362869548556329,0.01882016876111861,0.03066860719697887,-0.022532480990401702,-0.009845068224858608
farm,farm,226,649,0.0001521504377354629,12.682213895070104,0,NN,3,"{'VB', 'NN', 'NNP'}",105,2.1683975316957187,0.00043653421704728924,0.20604415044632052,227.68174082805047,0.0032046451068586447,0.023815754072563065,-0.11117278784468469,0.04929780619362607,-0.01661795080519306,-0.02547414660977458,0.05723981822451704,0.006674598159122299,-0.03627573591998932,-0.07257645838695201
fellow,fellow,168,873,0.00011310298026352995,13.110075434706532,0,NN,4,"{'JJ', 'NN', 'NNP', 'VB'}",105,2.1683975316957187,0.00023927797309629496,0.11293920330145121,227.68174082805047,-0.01878822022711573,0.01859691822517537,-0.0053681700434172345,0.02839088161087178,0.019159622516164047,0.016912763875803347,-0.05895632196978012,-0.011147700209550446,0.013972194305916823,0.0019124668369823034
