term_str,n,rank,p,i
world,540,295,0.0003635452937042034,11.425577260434462
times,538,298,0.00036219882965344706,11.430930494928669
class,535,299,0.00036017913357731264,11.438997776196782
around,534,300,0.0003595059015519345,11.441696925797737
north,534,300,0.0003595059015519345,11.441696925797737
words,533,302,0.00035883266952655633,11.444401134726116
met,526,303,0.00035412004534890923,11.46347386819299
land,524,304,0.0003527735812981529,11.468969855947842
death,521,305,0.00035075388522201844,11.477253295206785
feel,518,306,0.00034873418914588397,11.485584569798739
m,513,307,0.00034536802901899324,11.499577841878239
friend,512,308,0.0003446947969936151,11.502392857485292
brought,511,309,0.0003440215649682369,11.50521337654767
smith,509,310,0.0003426751009174806,11.510871011409597
sunday,509,310,0.0003426751009174806,11.510871011409597
christian,507,312,0.0003413286368667243,11.516550920481953
full,507,312,0.0003413286368667243,11.516550920481953
thus,504,314,0.0003393089407905898,11.525112933985376
women,503,315,0.00033863570876521167,11.527978267679766
head,501,316,0.00033728924471445535,11.533726064290084
point,501,316,0.00033728924471445535,11.533726064290084
used,501,316,0.00033728924471445535,11.533726064290084
gone,498,319,0.0003352695486383209,11.54239092541721
john,498,319,0.0003352695486383209,11.54239092541721
business,493,321,0.00033190338851143015,11.55694902110738
fact,489,322,0.0003292104604099175,11.568702202533059
five,486,323,0.00032719076433378305,11.577580353879512
soul,486,323,0.00032719076433378305,11.577580353879512
pray,485,325,0.0003265175323084049,11.580551920410802
whole,485,325,0.0003265175323084049,11.580551920410802
cause,484,327,0.00032584430028302674,11.583529620210697
lived,483,328,0.0003251710682576486,11.586513478649518
hear,483,328,0.0003251710682576486,11.586513478649518
dear,483,328,0.0003251710682576486,11.586513478649518
war,483,328,0.0003251710682576486,11.586513478649518
passed,482,332,0.0003244978362322704,11.589503521255331
