term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos,df,idf,tfidf_mean,tfidf_sum,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,nrc_sentiment,syu_sentiment
president,presid,423,368,0.0002847771467349593,11.777879004365342,0,NNP,2,"{'NNP', 'NN'}",97,2.2827302071747133,0.0006361706249084143,0.3002725349567716,221.4248300959472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
case,case,420,372,0.00028275745065882484,11.78814733981917,0,NN,1,{'NN'},166,1.5076036180149164,0.00036476340493174015,0.17216832712778135,250.2622005904761,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
gentleman,gentleman,417,374,0.0002807377545826904,11.79848928404063,0,NN,4,"{'NNS', 'NNP', 'JJ', 'NN'}",160,1.560714954474479,0.0004119189313212773,0.1944257355836429,249.71439271591663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
glad,glad,408,382,0.000274678666354287,11.829967515513797,0,JJ,9,"{'NNS', 'NNP', 'NN', 'VBN', 'VBZ', 'VBP', 'VB', 'JJ', 'VBG'}",176,1.4232114307245438,0.00038521362274182417,0.181820829934141,250.4852118075197,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75
child,child,402,387,0.00027063927420201806,11.851341166306364,0,NN,4,"{'NNP', 'JJ', 'VB', 'NN'}",153,1.6252552066691897,0.0005050644411468735,0.2383904162213243,248.66404662038602,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6
boy,boy,399,389,0.00026861957812588364,11.862147921262947,0,NN,9,"{'NNS', 'NNP', 'UH', 'NN', 'VBZ', 'IN', 'VB', 'RB', 'JJ'}",150,1.6538243588659602,0.00046749556232270046,0.2206579054163146,248.07365382989403,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.25
care,care,375,406,0.0002524620095168079,11.951646072102049,0,NN,4,"{'VBP', 'NNP', 'VB', 'NN'}",205,1.2031629498563952,0.00028739154093113264,0.1356488073194946,246.64840472056102,,,,,,,,,,,,1.0
ready,readi,369,414,0.000248422617364539,11.974915851424896,0,JJ,4,"{'NNP', 'JJ', 'VB', 'NN'}",201,1.2315913581829125,0.00032043899717433967,0.15124720666628833,247.54986299476542,,,,,,,,,,,,0.8
government,govern,365,420,0.00024572968926302635,11.990640203717913,0,NN,2,"{'NNP', 'NN'}",103,2.1961425221786226,0.00042441675577508504,0.20032470872584013,226.20267978439813,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5
beautiful,beauti,359,424,0.00024169029711075744,12.01455282366224,0,JJ,5,"{'NNP', 'NN', 'WDT', 'VB', 'JJ'}",151,1.6442383100367624,0.00037120621343157256,0.17520933273970224,248.2799848155511,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75
faith,faith,355,426,0.00023899736900924483,12.030717643093247,0,NN,7,"{'NNS', 'NNP', 'NN', 'VBN', 'VB', 'RB', 'JJ'}",151,1.6442383100367624,0.0003830950573902632,0.18082086708820422,248.2799848155511,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,
feeling,feel,352,435,0.00023697767293311036,12.042961238847996,0,NN,4,"{'VBP', 'JJ', 'VBG', 'NN'}",186,1.34348423825381,0.00029535180579570676,0.1394060523355736,249.88806831520864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
sir,sir,339,448,0.00022822565660319435,12.097251394348948,0,NN,9,"{'NNP', 'NN', 'UH', 'VBD', 'VBZ', 'FW', 'VB', 'RB', 'JJ'}",117,2.012278329778437,0.00043500393900284704,0.20532185920934382,235.4365645840771,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.25
