term_str,doc_count,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
advent,12,0.05000000010921352,0.05,0.050000000288783646,0.05000000017873871,0.05000000196000392,0.050000000428525024,0.05,2.124856544139063,0.050000001564089895,0.050000000497146244,8.571605952364054,0.05000000037436027,0.050000000720001415,0.05000000013909095,0.05,0.05,0.050000000670443925,0.05000000012689361,2.4535374964031798,0.05
adventure,8,0.05,0.05,2.0362952599236825,0.05,0.05,0.05,4.4682354298203535,2.565910262501637,0.05,0.05,1.1295590455761948,0.05,0.05000000032951581,0.05,0.05000000072020674,0.05,0.05,0.05000000110462405,0.05,0.05
adversity,9,1.8396939269417816,0.05,0.05000000189593534,0.05,7.727659683555165,0.05000000388879321,0.05,0.05,0.0500000004420853,0.05000000074022196,2.1689192878615144,0.05,1.4637270890877379,0.050000000981706864,0.05000000084195159,0.050000000306557345,0.05,0.05000000052646221,0.05000000239513468,0.050000000486419394
advertisement,5,0.05,0.05,0.05,0.05,2.050000000008761,0.05,0.8796121048275097,0.05,1.0578611665482827,0.05,0.05,0.05,0.05,0.050000000261633704,0.05,0.05,0.05000000076463229,4.212526727568399,0.05,0.05
advice,82,23.083854347439257,4.92946594710338,1.6658983713612878,1.0996849164625977,11.789117844776975,6.792565693849996,0.05000000028089123,5.42086135664176,0.05000000162377971,12.321953881196936,0.05000000089880637,0.056110520930040826,7.310396153113785,0.05000000055153544,0.05000000026106818,1.3644184250032325,0.05000000013879612,16.660542941967137,18.155129595583755,0.05000000076604004
advocacy,6,2.225411244999671,0.05000000003688815,0.0500000005630598,0.05,0.050000000140464684,0.05,0.05,0.050000000121099814,0.05000000008316803,4.874588751878205,0.05000000005821031,0.05,0.05000000010369721,0.05,0.050000000074668746,0.05,0.050000000024668034,0.05000000000771238,0.05000000188919366,0.05
advocate,15,0.6297172619901192,0.810737673839127,0.050000001033258405,2.864351933781304,0.05000000256097412,0.05000000018561797,0.05,0.05000009656694856,1.7272316013287436,0.050000002491651686,5.512930841569765,0.05,2.5421984588849917,0.050000000024078124,0.050000000078970555,0.050000002645717474,0.050000000275617955,0.050000000140601686,3.2628321225537262,0.05
advocates,9,1.3645274716921,0.05,0.05000000065566174,0.05,0.05000000029906866,0.05000000147245853,0.05,2.7809516801535517,0.050000000267348375,1.332336230099737,0.05000000032432086,0.05000000035648313,1.9879792356058197,0.050000001343340296,0.05,0.05,0.05,0.050000000047176654,2.7842053776489553,0.05
affair,35,0.050000000405686126,0.05000000047479745,2.593259887107348,0.05,0.05000000065962892,0.05000001008569935,0.050000000045199416,26.64632607294862,0.050000000393053134,0.05000000242809923,12.802967906651407,0.05000000071685642,4.4425886432767046,1.734658262502129,0.050000000684808275,0.05,5.080199135236568,0.050000000836699116,0.050000075504282246,0.05
affairs,69,7.342703079984236,0.050000000151277896,2.7626163692728536,0.05000000008120683,27.572772333876234,6.281011482593415,0.05000000070071391,10.057825786599262,0.05000000077934414,4.133028239013617,8.98248282190248,0.16296527784132736,12.257218129023533,0.05000000063508022,1.7537369026559748,0.05000000021871253,0.050000003120664376,2.226108467510748,19.067531103989303,0.05
affection,18,0.05000000005183327,0.05,0.05000000118763607,3.921845792680365,0.050000001013706594,4.820932102113768,0.05,0.05000000020682697,0.050000000194909786,0.050000001267888304,5.897110364154981,0.05000000036302164,8.093526134448474,0.05,0.05000000002236636,0.05,0.05000000092115597,0.05000000077035427,2.5165856005710157,0.05
affectionate,7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.0500000000261962,0.05000000069789056,0.05,5.049999996887806,0.05000000026529798,0.05,0.050000001143135415,0.05,0.05,1.0499999997829181,0.050000000578950196,0.05000000059269472,0.05
affections,13,0.05000000003432321,0.05000000056891858,0.05000000369214091,0.05,1.1217912600399793,0.05,0.050000000178121964,0.050000001547537226,0.05000000120418256,6.080171871910471,1.4576881188754898,2.0499999984321833,3.5403487383036896,0.05,0.05000000317268817,0.05000000011072412,0.0500000002222192,0.05000000108165734,0.05000000058084927,0.05
